PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
a;b;c;d;e;f;g;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;h;;;
1;Bratislavský;Bratislava I;Bratislava - Staré Mesto;;;m;959;4805;46 080;22 210;23 870;6 998;29 171;9 911;25 050;73;1 672;7 486;10 660;3 786;17 956;15 299;1 706;47 193;9 604;28 202;1;101;528595;;;obec;;;
2;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Avion;;;;2 502;1 164;1 338;350;1 476;676;1 373;5;88;421;598;82;1 149;1 112;0;2 647;917;1 692;1;101;528595;;2045950;základná sídelná jednotka;;;
3;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Banskobystrická ulica;;;;739;376;363;106;500;133;406;2;20;132;186;55;277;259;5;748;232;411;1;101;528595;;2045610;základná sídelná jednotka;;;
4;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Bezručova ulica;;;;1 643;793;850;245;963;435;867;1;56;245;373;65;707;680;2;1 687;533;1 075;1;101;528595;;2042260;základná sídelná jednotka;;;
5;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Bôrik;;;;2 167;1 032;1 135;367;1 313;487;1 161;2;83;334;516;329;801;463;258;2 132;703;1 164;1;101;528595;;2041450;základná sídelná jednotka;;;
6;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Bratislava - historické jadro;;;;1 553;814;739;159;1 033;361;890;3;56;277;353;146;649;553;24;1 390;389;971;1;101;528595;;2040990;základná sídelná jednotka;;;
7;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Dubová ulica;;;;1 668;792;876;302;1 018;348;878;5;72;257;380;306;594;339;201;1 628;523;860;1;101;528595;;2044550;základná sídelná jednotka;;;
8;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Hlavná stanica;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;101;528595;;2045440;základná sídelná jednotka;;;
9;Bratislavský;Bratislava I;Bratislava - Staré Mesto; ;Holý vrch;;;;1 229;587;642;281;769;179;634;4;35;185;272;148;433;311;105;1 304;428;650;1;101;528595;;2044800;základná sídelná jednotka;;;
